Subnum,Parent1,Parent2,Parent3,PR1,PR2,PR3,RS1,RS2,RS3,Commit1,Commit2,Commit3,Stability1,Stability2,Stability3,Stability4,age,gender,living_area,pol_orientation_overall
300,6,5,6,1,1,1,1,1,1,6,6,6,6,6,5,7,19,1,5,4
25,1,1,1,1,1,1,1,1,1,5,5,4,1,1,1,1,24,3,4,3
29,2,2,2,2,4,5,2,2,2,4,5,2,7,4,2,6,21,2,4,2
67,5,6,5,6,7,6,5,5,5,5,6,6,6,7,6,5,21,1,2,1
162,5,5,5,5,1,1,2,1,1,6,6,6,1,1,1,3,18,2,2,3
153,3,2,2,1,1,4,6,5,2,5,7,5,5,2,4,5,18,2,4,3
157,3,3,2,1,2,3,2,2,2,4,3,6,3,2,4,2,18,2,2,4
43,2,2,2,6,6,2,5,2,2,2,6,7,6,2,6,2,19,2,1,3
265,4,4,4,5,5,5,5,5,5,3,4,5,5,5,5,6,18,2,2,1
231,3,2,2,5,3,5,4,3,4,3,2,5,7,7,7,7,19,2,2,2
229,4,4,3,1,7,7,5,2,2,4,7,4,1,1,4,4, , , , 
