subject,gender,age,MathErro,OpspanTo,ReadErro,RespanTo,SymmErro,SyspanTo,RotError,RoSpanTo,LettSets,RAPMOddT,NumSerTo,PapFoldT,CTdistra,CTprimar,CompMean,overall_,antisacc,ArrINC_C,FlnkCued,CuedSrch,NT.RT_IS,SARTd,SpStrpIN,BRTotalS,Arrays_k,Counters,KT_sum,MatMon.a,ZOpspanTo,ZRespanTo,ZSyspanTo,ZRoSpanTo,ZLettSets,ZRAPMOddT,ZNumSerTo,ZPapFoldT,ZCTdistra,ZCTprimar,ZCompMean,Zoverall_,Zantisacc,ZArrINC_C,ZFlnkCued,ZCuedSrch,ZNT.RT_IS,ZSARTd,ZSpStrpIN,ZBRTotalS,ZArrays_k,ZCounters,ZKT_sum,ZMatMon.a,FAC1_WM,FAC1_GF,FAC1_MUL,FAC1_MULTI3,FAC1_ATT,ZMathErro,ZReadErro,ZSymmErro,ZRotError
1050,1,1,8,53,0,69,3,37,1,30,17,11,13,7,26,44.3333333333333,734.333333333333,.844444444444444,.614285714285714,136.02,860.368421052632,937.243421052632,128.1607962708,2.28455857622439,170.875925925926,96,-.666666666666667,.911111111111111,47,.8125,-.09078535656583,1.20759030082253,1.26288352174759,.290401255477532,2.16045250222396,.550544018868256,1.45589214009949,.427105871427861,.318460305362355,1.23828124069325,.773711126084147,1.48202394463746,.893024630163325,.517083400178928,.549251753740975,-1.18195633741594,-.798298202996339,.59385861942444,.440699096673675,.159363522964649,-3.14749175517567,.500503430103644,1.36357688057864,.0529823357046178,.409376169785194,1.35460898398905,1.04757094306701,1.16086976873595,-.292372848802422,.264172583142352,-1.05329993048628,-.233751210380171,-.640086767443843
1051,1,1,8,52,5,42,3,26,0,36,8,10,7,8,24,33,581.666666666667,.711111111111111,.371428571428571,53.5918367346938,396.6,853.031446540881,93.0773007800188,3.60789943958544,73.3310185185185,86,4.8,.822222222222222,31,.875,-.159066174039286,-.696295643109588,.0669818924157603,.971049113963275,-.672599264676002,.278833754473017,-.555612136260475,.802228462451673,-.196866370587628,.242356813063454,.202925210909435,.265123598285453,-.664597608882195,-.695933797228677,-1.30814930165342,-1.47613950669436,-1.41368539610055,1.80070601393703,-.866293280994422,-.74595691600468,1.08177475044001,.0332986149281383,-.418647514046399,.482045708537507,.142290175380296,-.156859581439105,.165492983227457,.241089234700596,-1.72154889775925,.264172583142352,-.153936062754151,-.233751210380171,-.826764175316597
1052,1,0,7,68,5,75,4,23,20,17,7,2,4,0,24,20,275.333333333333,.533333333333333,.642857142857143,246.177777777778,1033.36363636364,929.41975308642,327.177518354233,.152488900891431,-46.1641791044776,99,2.6,.688888888888889,33,.9375,.933426905536013,1.63067606614078,-.259173097402011,-1.18433577124158,-.987382794331553,-1.89484836068889,-1.56136427444046,-2.19875226573883,-.196866370587628,-.900027089217777,-.942385391810128,-1.35741019685055,1.07627430534515,2.13817106705518,1.24210077258432,-1.20928726571951,2.69258377071998,-1.35052532868376,-2.46739493368141,.430959654655447,-.6202471359663,-.667508607835122,-.195869464718269,.911109081370395,.00475409631056543,-1.82788180139793,-1.09776092851044,-1.18277325841623,1.60693607428412,.0837785174159894,-.153936062754151,-.0499174160605657,2.90678398213848
1053,1,1,9,64,13,36,18,19,11,27,4,5,6,6,13,11.6666666666667,373.333333333333,.466666666666667,.642857142857143,216.208037825059,1123.2,1147.53246753247,302.311083176736,.110342717438563,4.76031553398059,105,1.93333333333333,.511111111111111,8,.4375,.660303635642188,-1.11938140842784,-.694046417159039,-.0499226737653401,-1.93173338329821,-1.07971756750318,-.890862848987135,.0519832804040483,-3.03116308831253,-1.63232446247498,-.575985699536405,-1.96586037002655,1.07627430534515,1.6971347934763,1.60189706111178,-.447339930228606,2.2564104210488,-1.38896139084809,-1.78506380950413,.974151918037044,-1.13601134396821,-1.60191823818613,-2.98059508131988,-2.52139790129271,-1.38788206475091,-1.1649541656285,-1.67936233159985,-1.29007953245615,1.65737676182819,.444566648868715,1.28504612561725,2.52375570441391,1.22668731128369
1054,2,1,13,55,7,37,13,16,6,22,8,9,7,3,23,21.6666666666667,340.333333333333,.622222222222222,.628571428571429,82.2113095238095,841.15,1572.99230769231,229.97220301707,.137034570198521,157.962962962963,96,3.4,.911111111111111,31,.625,.0457762783810824,-1.04886711420813,-1.02020140697681,-.617129222503459,-.672599264676002,.00712349007777884,-.555612136260475,-1.07338449266739,-.45452970856262,-.753567614566337,-.699365187751026,-.546143299282549,.984649467754238,-.274768126434843,.472281623982785,1.03894660924025,.987539694485745,-1.36461921730086,.267679872869262,.159363522964649,-.00133008636400608,.500503430103644,-.418647514046399,-1.23420778279405,-.550966484189873,-.56684630266016,-.773752546344413,-.768171955124612,1.16994782810138,1.16614291177417,.2058094843387,1.60458673281588,.293300271919926
1055,1,0,22,52,10,65,42,22,2,25,2,5,2,0,17,5.66666666666667,-198,.577777777777778,.685714285714286,3.72500000000002,467.315789473684,1893.21551724138,76.3189566357037,0,153.463696369637,98,1.06666666666667,.866666666666667,34,.375,-.159066174039286,.9255331239437,-.367891427341268,-.276805293260588,-2.56130044260931,-1.07971756750318,-2.23186569989378,-2.19875226573883,-2.00050973641257,-2.15957857122016,-2.71207098034308,-.951776748066551,1.35114881811789,-1.4297767963115,-1.02493126429041,2.15760318044446,-1.70763758700338,-1.48959065782768,.207394745753264,.340427610758514,-1.8065048143707,.266901022515891,-.0844804400542047,-2.9504612741256,-.453642105738977,-2.22691909403845,-2.63750975630535,-2.43945604222612,.026004031372575,2.78968950331143,.745427804977975,4,-.45340935957109
1056,1,1,7,66,6,71,5,12,3,32,12,11,11,6,25,45,857,.711111111111111,.185714285714286,127.48,1194.6,1652.04166666667,94.8798947472254,1.49124500817465,60.7222222222223,101,4.4,.955555555555556,36,.875,.7968652705891,1.34861888926195,-1.45507472673384,.517283874972779,.586534853946206,.550544018868256,.785390714646166,.0519832804040483,.0607969673873632,1.29686503055382,1.23233387015466,.265123598285453,-1.85572049756406,.391408309827605,1.88785537421587,1.31509487778915,-1.38206673250196,-.129619691523101,-1.03523701254158,.612023742449313,.772316225638862,.734105837691397,.138297609273925,.482045708537507,.57062822555113,.632848876527256,.985722337529343,1.11004929858993,-.345552541240401,.0837785174159894,.0259367107922744,.133916378259039,-.266731951698336
1057,1,1,7,69,8,53,3,24,21,16,11,9,7,9,25,34.6666666666667,568,.711111111111111,.528571428571429,-14.7959830866807,580.705882352941,1461.45238095238,147.795914600281,1.81615800030693,41.535046728972,64,2.33333333333333,.733333333333333,32,.9375,1.00170772300947,.0793615933072016,-.150454767462754,-1.2977770809892,.271751324290654,.00712349007777884,-.555612136260475,1.17735105347549,.0607969673873632,.388816287714894,.151828655184188,.265123598285453,.343275604617847,-1.70233256010704,-.570801856972919,.649296926523746,-.453885532992473,.16669126573263,-1.29232364868875,-2.7376618817372,-.826552819167065,-.433906200247368,-.307258489382334,.911109081370395,-.490179462940641,.0622569380906086,.200295753493656,.241510912695626,-.373603471258899,.0837785174159894,.385682257885125,-.233751210380171,3.09346139001123
1058,2,1,4,37,1,52,2,31,0,26,11,8,9,6,24,32.3333333333333,547,.666666666666667,.471428571428571,114.153333333333,493.315789473684,1092,242.783286330254,-.0105575507043549,156.713156002876,98,1.33333333333333,.8,36,1,-1.18327843614113,.00884729908749348,.610573542112046,-.163363983512964,.271751324290654,-.26458677431746,.114889289192845,.0519832804040483,-.196866370587628,.183773023202879,.0733144354112474,-.140509850498548,-.0232237457458046,.195292380387875,-.920800786129256,-.641335111926576,1.21225437842583,-1.49921882915735,.250933861070119,.340427610758514,-1.60019913116993,-.0835025888657389,.138297609273925,1.34017245420328,-.0779109016040346,.0383542685986938,-.0273934269769825,.031977185426552,.578261741364566,-.457403679763099,-.873427156939852,-.417585004699776,-.826764175316597
1059,1,1,8,47,3,49,13,18,5,20,10,2,9,1,23,30.6666666666667,412.666666666667,.666666666666667,.628571428571429,223.08,779.25,2468.98550724638,280.860286336233,.0617737240640035,240.39651416122,86,4,.355555555555556,32,.75,-.500470261406567,-.202695583571631,-.802764747098296,-.844011841998707,-.0430322053648979,-1.89484836068889,.114889289192845,-1.82362967471501,-.45452970856262,.0373135485514386,-.42892731964423,-.140509850498548,.984649467754238,1.79826295123117,.224370985591421,4,1.88014957608839,-1.43325486408016,1.3721970223935,-.74595691600468,.462857700837715,-2.41952666474327,-.307258489382334,-.376081037128271,-1.03182950633387,-.881595109068524,-.420467985768743,-.311354096700082,2.22885054193884,.264172583142352,-.513681609847001,1.60458673281588,.106622864047172
1060,1,1,7,47,6,42,2,20,4,27,7,10,10,6,24,37.6666666666667,559.333333333333,.811111111111111,.271428571428571,75.38,560.3,1522.41379310345,255.419263173317,-3.40044026605624,76.6435185185185,97,2.53333333333333,.844444444444444,21,.875,-.500470261406567,-.696295643109588,-.585328087219782,-.0499226737653401,-.987382794331553,.278833754473017,.450140001919506,.0519832804040483,-.196866370587628,.652443342087486,.119425961309641,1.17779885804946,-1.30597147201859,-.37529803763187,-.652527791077228,.862257393657623,1.43389758167009,-4,-.821909495453028,.249895566861581,-.671823556766492,.150099818722014,-1.53253776068704,.482045708537507,-.473765144462326,.0181574125810853,.382907174172021,.540088180870903,1.1773712665637,.0837785174159894,.0259367107922744,-.417585004699776,-.0800545438255819
1061,1,1,19,12,44,43,27,8,16,29,3,1,1,4,9,21,216,.555555555555556,.657142857142857,220.844155844156,1271.69230769231,954.225,334.535433809653,.0247925775470149,75.7884615384615,81,1.26666666666667,.222222222222222,15,.5625,-2.89029887297753,-.62578134888988,-1.88994804649087,.176959945729908,-2.24651691295376,-2.16655862508413,-2.56711641262044,-.698261901643576,-4,-.812151404426913,-1.1642192191051,-1.15459347245855,1.16789914293606,1.76536015072799,2.19661148431383,-1.12263348288067,2.82164636485056,-1.46698056662271,-.833366300171072,-1.19861713548934,-1.65177555197012,-3.12033388750653,-2.20087190867143,-1.66327115562694,-2.22022939772207,-2.3597455657253,-1.9790533702391,-1.24301588564991,1.99091997737946,2.24850730613234,4,4,2.16007435064746
1062,1,1,6,25,7,14,19,1,26,3,6,1,3,4,24,6.66666666666667,-1928.66666666667,.622222222222222,.7,107.66,1029,1016.26153846154,300.735639505213,-.0301497386170446,118.654205607477,87,2.93333333333333,.222222222222222,14,.6875,-2.0026482458226,-2.67069588126142,-2.65097635606567,-2.77251410770831,-1.30216632398711,-2.16655862508413,-1.89661498716712,-.698261901643576,-.196866370587628,-2.0717028864293,-4,-.546143299282549,1.4427736557088,.0997361446328483,1.22462432869713,-.905917207060171,2.2287761204938,-1.51708632013407,-.259013396976663,-.655424872107747,-.362365031965344,-3.12033388750653,-2.3122609333355,-.80514440996116,-2.91499602171416,-1.86297961544076,-2.98137180496382,-3.10239104723874,1.59006514942789,-.0966155483103734,.2058094843387,2.70758949873351,4
1063,1,1,6,71,5,56,3,35,3,37,13,13,9,9,27,30.3333333333333,726,.777777777777778,.385714285714286,92.64,641.4,944.735483870968,189.715209541296,2.20472813648949,278.639978213508,91,5.26666666666667,.977777777777778,43,.9375,1.13826935795638,.290904475966326,1.04544686186907,1.0844904237109,.901318383601758,1.09396454765873,.114889289192845,1.17735105347549,.576123643337346,.0080216536211504,.742554689666313,.873573771461455,-.572972771291282,-.121298967437042,-.327720799582241,-1.15578382694923,.281406001952713,.521055639584344,1.88461655653894,-.293296696520016,1.44280969604135,.850907041485274,.918020781922377,.911109081370395,1.15044961822063,.822820673069535,.810013265373995,.698098792814903,-.24922210860777,-.0966155483103734,-.153936062754151,-.233751210380171,-.266731951698336
1064,1,1,6,53,7,46,2,35,2,34,12,9,11,8,25,39.3333333333333,660.333333333333,.8,.157142857142857,251.230718523401,855.111111111111,1219.80794701987,125.533236834592,2.11385676076871,111.061904761905,102,1.8,.888888888888889,43,1,-.09078535656583,-.414238466230755,1.04544686186907,.744166494468027,.586534853946206,.00712349007777884,.785390714646166,.802228462451673,.0607969673873632,.798902816738926,.497041970693785,1.07639049585346,-2.03897017274589,2.2125304095313,.528196130738978,-.194855295590886,-.844387294278235,.438183655456336,-.360741714711188,.702555786346246,-1.23916418556859,.383702226309768,.918020781922377,1.34017245420328,.502405157530319,.590507447378198,.669432492985504,.777198525395648,-.624136501874449,-.0966155483103734,.2058094843387,-.417585004699776,-.45340935957109
1065,1,1,9,61,4,68,5,28,0,29,13,7,9,6,28,27.6666666666667,412,.733333333333333,.357142857142857,112.18115942029,599.75,1198.66666666667,177.288380736455,.806000466179037,300.431764705882,105,4.8,.711111111111111,38,.8125,.455461183221819,1.13707600660282,.284418552294274,.176959945729908,.901318383601758,-.536297038712698,.114889289192845,.0519832804040483,.833786981312338,-.226313505821153,-.431419834557657,.467940322677453,-.756222446473108,.166269765082224,-.494529815559629,-.268709505671665,.063431390517339,-.75454227421353,2.17660205940427,.974151918037044,1.08177475044001,-.550707404041244,.361075658602054,.0529823357046178,.472764761643236,.112572375652572,-.0216395745325012,-.196720623173806,.0906583440169474,.444566648868715,-.333808836300576,.133916378259039,-.826764175316597
1067,1,1,16,37,13,14,42,36,3,34,1,10,6,1,4,15,382,.711111111111111,.514285714285714,-37.549064095292,652.052631578947,1731.890625,225.518517746818,.806721651201964,65.6758177570093,68,4,.222222222222222,35,.8125,-1.18327843614113,-2.67069588126142,1.15416519180833,.744166494468027,-2.87608397226486,.278833754473017,-.890862848987135,-1.82362967471501,-4,-1.3394055131721,-.543583005661858,.265123598285453,.251650767026934,-2.03716810009863,-.285056814197994,1.5940364387996,.9094191754471,-.75388457498427,-.968864387069938,-2.37553370614947,.462857700837715,-3.12033388750653,.0269085846098599,.0529823357046178,-1.09887619388749,-1.2993878268601,-1.26504022956638,-.568066747069834,.569443543372037,1.70732510895326,1.28504612561725,4,-.266731951698336
1068,1,1,6,65,3,60,2,26,3,31,11,7,12,3,27,24,691.666666666667,.822222222222222,.314285714285714,100.982568027211,622,1122.32278481013,144.019743828859,2.24726252594931,113.455337690632,90,4.73333333333333,.977777777777778,43,.75,.728584453115644,.572961652845159,.0669818924157603,.403842565225155,.271751324290654,-.536297038712698,1.12064142737283,-1.07338449266739,.576123643337346,-.548524350054321,.614190171624839,1.27920722024546,-1.03109695924585,.00147070359127105,-.405418156364026,-.535406554990226,-.520122009694702,.559845734047527,-.328672397332672,-.383828740416949,1.03019832963982,.850907041485274,.918020781922377,-.376081037128271,.651447933733126,.142690957196928,.777725810217174,.612576456927155,-.729066273201879,-.0966155483103734,-.513681609847001,-.417585004699776,-.266731951698336
1069,1,1,6,58,1,65,1,34,4,34,18,12,14,10,27,46,819.333333333333,.844444444444444,.157142857142857,85.0408163265307,601.833333333333,1189.8940397351,145.651594399124,2.88302594081994,86.5942265795207,112,2.6,1,41,.9375,.250618730801451,.9255331239437,.936728531929817,.744166494468027,2.47523603187952,.822254283263495,1.79114285282615,1.5524736444993,.576123643337346,1.38474071534469,1.09150677754605,1.48202394463746,-2.03897017274589,-.233128955113805,-.486186027245434,-.299355494066885,-.491498295667552,1.13964300473281,-.688581165622221,1.60787622531557,-.6202471359663,.96770824527915,.695242732594248,.911109081370395,.962063453738412,1.84332547245282,1.32122157235025,1.38989784948539,-1.07622433400148,-.0966155483103734,-.873427156939852,-.601418799019381,-.0800545438255819
1070,2,1,38,36,30,52,7,18,10,10,4,1,5,7,21,41.3333333333333,347.666666666667,.555555555555556,.528571428571429,60.8574468085106,596.705882352941,823.039215686274,146.291891183775,.429839247098744,180.740566037736,91,-.133333333333333,.688888888888889,33,.875,-1.25155925361458,.00884729908749348,-.802764747098296,-1.97842493947495,-1.93173338329821,-2.16655862508413,-1.2261135617138,.427105871427861,-.969856384512603,.974654186320654,-.671947523703333,-1.15459347245855,.343275604617847,-.589012696235186,-.5067215627199,-1.5809133179925,-.480267076099831,-1.09759008580361,.572874212497256,-.293296696520016,-2.73488038877414,-.66750860783512,-.195869464718269,.482045708537507,-1.14388390164784,-1.57228438534003,-.855880396590238,-.546491509564128,-.222460476294012,4,4,.50158396689825,1.04000990341094
1071,2,1,8,74,6,53,2,40,1,34,15,14,9,8,22,38.3333333333333,703.333333333333,.844444444444444,.442857142857143,-14.6351020408163,633.631578947368,1129.52229299363,151.918334933523,2.02548645875207,47.7421383647799,106,5,1,35,1,1.34311181037675,.0793615933072016,1.58903851156536,.744166494468027,1.53088544291286,1.36567481205397,.114889289192845,.802228462451673,-.712193046537611,.711027131948062,.657809182609806,1.48202394463746,-.206473420927631,-1.69996502615214,-.358833468765614,-.510256044662582,-.381575615118521,.357592575943981,-1.20915558106627,1.06468396193398,1.23650401284058,.96770824527915,.0269085846098599,1.34017245420328,1.18949771154183,1.00418287704689,.706519131555918,.973531793823073,-.647750751446477,.264172583142352,.0259367107922744,-.417585004699776,-.640086767443843
1072,1,1,4,57,3,61,3,32,1,30,12,9,10,8,26,32,602.666666666667,.622222222222222,.328571428571429,103.757142857143,911.0625,931.18954248366,129.467805365391,2.94927359725093,180.37037037037,95,4.93333333333333,.822222222222222,36,.8125,.182337913327995,.643475947064867,.719291872051303,.290401255477532,.586534853946206,.00712349007777884,.450140001919506,.802228462451673,.318460305362355,.15448112827259,.281439430682376,-.546143299282549,-.939472121654934,.0423014931039407,.752282472230545,-1.20310474527803,-.775372418469152,1.20005889134969,.567914005671987,.0688314790677158,1.18492759204039,.0332986149281383,.138297609273925,.0529823357046178,.499425021926314,.462268089288049,.109250021709998,.0385809165117477,-.784313328841922,-.457403679763099,-.513681609847001,-.233751210380171,-.640086767443843
1073,1,1,2,59,14,44,5,19,20,20,8,5,8,7,21,20,600,.622222222222222,.528571428571429,285.468693009119,485.421052631579,1517.93043478261,182.360181923552,1.72846011414652,130.532738095238,87,3.66666666666667,.888888888888889,26,.75,.318899548274907,-.555267054670172,-.694046417159039,-.844011841998707,-.672599264676002,-1.07971756750318,-.220361423533815,.427105871427861,-.969856384512603,-.900027089217777,.271469371028669,-.546143299282549,.343275604617847,2.71637824758034,-.952419352372522,.84659538635424,.152394062362009,.0867134094242026,-.0998543815854805,-.655424872107747,.204975596836759,.383702226309768,-.975592637366722,-.376081037128271,-.457345231763036,-.523289802868127,-.26709265909617,-.198622264090083,.276651722816445,-.818191811215825,1.46491889916368,.133916378259039,2.90678398213848
1074,1,1,10,62,2,52,3,28,3,19,9,8,9,6,23,21.6666666666667,587.333333333333,.733333333333333,.485714285714286,86.9134693877551,625.842105263158,1280.03973509934,149.261845782192,2.12785798932816,125.121459694989,98,3.33333333333333,.866666666666667,26,.75,.523742000695276,.00884729908749348,.284418552294274,-.957453151746331,-.35781573502045,-.26458677431746,.114889289192845,.0519832804040483,-.45452970856262,-.753567614566337,.224111587673562,.467940322677453,.0684010918451088,-.20557089391169,-.390030454125636,.0155563283053316,-.428172152307326,.450952358271142,-.172359444233459,.340427610758514,-.0529065071641971,.266901022515891,-.975592637366722,-.376081037128271,-.174443493470488,-.121837220804135,.082747976798459,.0940068184841755,-.357399742364803,.624960714595078,-.693554383393427,-.233751210380171,-.266731951698336
1075,1,1,21,62,12,43,12,21,3,33,9,4,4,1,24,9.33333333333333,218.666666666667,.533333333333333,.614285714285714,71.48,934.411764705882,1471.47333333333,266.586866480212,-.133218682823458,92.3989218328841,91,2.8,.355555555555556,25,.5625,.523742000695276,-.62578134888988,-.476609757280525,.630725184720403,-.35781573502045,-1.35142783189841,-1.56136427444046,-1.82362967471501,-.196866370587628,-1.83736772698699,-1.1542491594514,-1.35741019685055,.893024630163325,-.432690643295823,.84579670678958,.684303771425658,1.62978456375651,-1.61108212288949,-.610804758298921,-.293296696520016,-.465517873565726,-2.41952666474327,-1.08698166203079,-1.66327115562694,-.985913955425905,-1.43094087952278,-1.32353401269058,-1.51942270214862,1.39512277989308,2.60929543758507,1.10517335207083,1.42075293849628,-.266731951698336
1076,2,1,7,47,10,27,3,21,16,25,10,9,8,2,26,15.3333333333333,324.666666666667,.533333333333333,.385714285714286,116.14,809.444444444444,1619.375,218.110164879241,1.4174342121369,244.441451346894,100,4.46666666666667,.866666666666667,38,.75,-.500470261406567,-1.75401005640521,-.476609757280525,-.276805293260588,-.0430322053648979,.00712349007777884,-.220361423533815,-1.4485070836912,.318460305362355,-1.31011361824181,-.757939288216553,-1.35741019685055,-.572972771291282,.224528271820111,.345300290891822,1.20097828587358,.779471876498456,-.196932935866523,1.42639464490742,.52149169855238,.823892646439052,.266901022515891,.361075658602054,-.376081037128271,-.302587748078095,-.343218122941603,-.909011857874662,-1.15831296838526,.630738318788716,.0837785174159894,.745427804977975,-.233751210380171,2.16007435064746
1077,1,1,3,52,7,40,2,24,5,22,10,12,14,5,27,30.3333333333333,656.666666666667,.6,.357142857142857,47.7,514.052631578947,1245.24203821656,185.424022183351,2.52192134094313,134.667989417989,97,3.13333333333333,.911111111111111,36,.75,-.159066174039286,-.837324231549004,-.150454767462754,-.617129222503459,-.0430322053648979,.822254283263495,1.79114285282615,-.323139310619764,.576123643337346,.0080216536211504,.483333138669938,-.74896002367455,-.756222446473108,-.782638377318593,-.837749352130278,-.106004730106101,.206135801354135,.810326380744493,-.0444466509081184,.249895566861581,-.20763576956477,.500503430103644,.138297609273925,-.376081037128271,-.232655357071082,.878546175969403,.228455897855736,.0736317392729511,-.498904156261991,-.637797745489462,.2058094843387,-.417585004699776,.106622864047172
1078,2,1,6,69,10,56,18,19,7,26,8,9,6,6,26,26.3333333333333,306.333333333333,.6,.542857142857143,416.843783783784,792.105263157895,1423.29268292683,219.996161890341,1.16527124379202,120.152291105121,106,2.93333333333333,.644444444444444,42,.75,1.00170772300947,.290904475966326,-.694046417159039,-.163363983512964,-.672599264676002,.00712349007777884,-.890862848987135,.0519832804040483,.318460305362355,-.343481085542305,-.826483448335787,-.74896002367455,.434900442208761,4,.275856550957538,.515991170793038,.81255348340871,-.426898041430216,-.238940731180397,1.06468396193398,-.362365031965344,-.901111015422874,.806631757258312,-.376081037128271,-.0929929239067787,-.500677657427046,-.7068823943364,-.815083664016169,.941791810678884,-.0966155483103734,.745427804977975,2.52375570441391,.479977679792679
1079,1,1,5,67,3,50,1,20,0,30,5,11,9,6,28,24,528.333333333333,.777777777777778,.642857142857143,133.04,591.55,1255.53459119497,131.669934661362,2.51259592662168,150.267973856209,99,3.86666666666667,.977777777777778,45,.9375,.865146088062556,-.132181289351923,-.585328087219782,.290401255477532,-1.61694985364266,.550544018868256,.114889289192845,.0519832804040483,.833786981312338,-.548524350054321,.00352401783530027,.873573771461455,1.07627430534515,.473229563030575,-.527370966364302,-.0700490851671318,-.736745646896286,.801821881043633,.164575647583971,.430959654655447,.359704859237333,.850907041485274,1.14079883125051,.911109081370395,.560826330318722,-.184300052562942,.332949343610711,.118184002979409,-.322374201352656,-.277009614036736,-.513681609847001,-.601418799019381,-.826764175316597
1080,2,1,4,66,2,51,4,33,0,32,12,8,12,8,29,35,604.333333333333,.666666666666667,.342857142857143,73.4455782312925,774.526315789474,1770.67857142857,168.504125749548,2.03362490166048,38.0417445482866,108,3.53333333333333,1,41,.9375,.7968652705891,-.0616669951322147,.82801020199056,.517283874972779,.586534853946206,-.26458677431746,1.12064142737283,.802228462451673,1.09145031928733,.418108182645182,.287670717965943,-.140509850498548,-.847847284064021,-.403765090390638,.205452543455866,1.72953689554956,-.0906501211531597,.365014593121377,-1.33912998070953,1.24574804972784,.101822755236377,.96770824527915,.695242732594248,.911109081370395,.84396336560769,.632773423119397,.403761548102569,.216154847564701,-.0894728687096198,-.457403679763099,-.693554383393427,-.0499174160605657,-.826764175316597
1081,1,1,5,68,0,66,0,33,5,27,11,10,11,10,27,35.3333333333333,770,.777777777777778,.542857142857143,193.558333333333,479.7,1238.60927152318,121.028701545941,2.55460553956962,211.502314814815,94,2.66666666666667,.933333333333333,45,.9375,.933426905536013,.996047418163408,.82801020199056,-.0499226737653401,.271751324290654,.278833754473017,.785390714646166,1.5524736444993,.576123643337346,.447400077575471,.907060673952475,.873573771461455,.434900442208761,1.36382054775869,-.975332273376808,-.12917540551487,-.923399755515168,.840133394981125,.985047151546354,-.0217005648292171,-.568670715166109,.61730463389752,1.14079883125051,.911109081370395,.745374478654515,.725990420574575,.958056319613267,.896305153497197,-.496872995116721,-.277009614036736,-1.05329993048628,-.785252593338986,.106622864047172
1082,1,1,28,46,15,45,15,23,15,22,7,1,1,4,8,31.6666666666667,209.666666666667,.577777777777778,.642857142857143,136.913333333333,681.473684210526,2027.95505617978,177.03495245749,.428148494796834,117.692967409949,100,3.06666666666667,.488888888888889,21,.6875,-.568751078880023,-.484752760450464,-.259173097402011,-.617129222503459,-.987382794331553,-2.16655862508413,-2.56711641262044,-.698261901643576,-4,.125189233342303,-1.18789811078266,-.951776748066551,1.07627430534515,.530229740621612,-.167224957331424,2.62829757778909,.0589860946577358,-1.09913200147085,-.271892910942938,.52149169855238,-.259212190364962,-1.71871944198001,-1.53253776068704,-.80514440996116,-1.00529160518302,-2.03936258691965,-1.85407308028357,-.99435662979301,.929950126846486,3.87205389766961,1.6447916727101,1.97225432145509,1.97339694277471
1083,1,1,1,63,1,61,4,22,0,26,14,15,11,10,26,27.3333333333333,747.666666666667,.755555555555556,.328571428571429,115.64612244898,672.15,1198.85430463576,194.883044013279,2.35278063607387,168.777777777778,79,4.6,.977777777777778,45,1,.592022818168732,.643475947064867,-.367891427341268,-.163363983512964,1.21610191325731,1.63738507644921,.785390714646166,1.5524736444993,.318460305362355,-.255605400751442,.823561424352681,.670757047069454,-.939472121654934,.217260343734985,-.204566484064721,-.268054017746755,.372053159701766,.656075103066094,.412586264238512,-1.37968122328321,.927045488039436,.850907041485274,1.14079883125051,1.34017245420328,.606810732783275,1.39614456642357,.731787127682536,.632565276296564,-.2292916987881,-.998585876942188,-.873427156939852,-.0499174160605657,-.826764175316597
