pnum,ospan,symspan,rspan,color,shape,space,orient,motion,colorK,shapek,raven,ns,cf,rel2,anti,drop48,picsource,pa,dfrp,ospanrt,symspanrt,rspanrt
50,57,25,69,4.84,2.63,4.65,2.99,2.92,3.07,1.2,14,12,41,0.09,0.48,-0.13,0.66,0.47,0.62,2721,1361,2649
51,62,26,65,2.3,3.61,4.2,1.65,1.29,1.33,0.6,11,7,32,0.21,0.5,1.6,0.76,0.73,0.68,3244,1982,3123
52,63,35,63,1.96,2.53,4.07,2.76,1.62,2.33,3.4,15,14,43,0.03,0.74,-0.53,0.91,0.47,0.7,2503.5,2251,3210
54,48,37,36,2.4,0.57,5.22,2.66,2.4,2.6,2.47,9,9,32,0.08,0.74,0.27,0.69,0.03,0.6,3803,1529,3580
55,48,39,43,2.63,3,5.7,2.08,2.18,2.47,2,8,15,37,-0.05,0.79,0.67,0.72,0.23,0.57,2289,2137.5,4180
56,63,37,54,2.7,1.71,4.73,2.17,1.59,3.33,3.2,11,10,37,0.12,0.72,1.2,0.95,0.3,0.52,3165.5,1529,4461
57,40,38,33,2.23,2.13,4.72,2.18,3.79,2.6,1.67,13,12,33,0.13,0.35,-1.07,0.9,0.13,0.3,3443.5,2281,4770.5
58,55,34,61,2.27,2.28,4.76,2.58,2.33,1.93,2.93,11,9,34,0.09,0.5,0.13,0.64,0.17,0.47,2834,2625.5,3458
59,73,42,66,3.3,4.9,5.58,2.59,3.21,1.8,2.8,13,13,35,0.14,0.72,0.32,0.88,0.73,0.52,2532,1327.5,3191
60,71,41,70,2.1,0.87,2.99,0.48,0,1.73,0.8,5,5,32,0.2,0.55,-0.13,0.31,0.03,0.42,4144,1835,4213
62,64,18,64,3.65,1.94,5.01,2.26,2.19,2.93,2.53,12,12,37,0.08,0.79,-0.53,0.79,0.93,0.52,2994,1310,2628
63,44,31,54,2.4,0,3.9,1,0.6,1.07,0.87,10,12,36,0.23,0.57,1.47,0.97,0.23,0.6,3190.5,2387,4404
65,37,32,49,1.87,1.54,5.54,2.53,2.92,2.27,1.4,10,6,33,-0.02,0.5,0.53,0.79,0.23,0.38,3150,1464.5,3115
66,47,29,44,1.69,3.06,5.48,0.58,0,2,2.2,8,3,27,0.13,0.47,-0.8,0.53,0.13,0.35,4257.5,2500,3813
67,16,25,29,3.4,0.58,5.27,2.76,3.18,1.73,2.33,9,13,36,0.19,0.62,-0.13,0.71,0.53,0.35,2494,1476,3055
68,58,30,46,4.31,2.8,4.91,2.98,2.83,1.73,2.33,12,7,33,0.16,0.39,1.36,0.85,0.87,0.6,3826,2054,4010
70,72,31,33,1.81,0,5.67,1.07,1.35,0.33,0,6,7,32,0.07,0.74,2,0.77,0.33,0.53,3896,2676,3651
73,46,29,48,3.14,1.32,4.57,2.72,2.77,2.87,1.67,8,7,36,0.08,0.34,0.67,0.8,0.4,0.53,2816,1707,2475.5
74,73,25,59,4.45,4.59,5.06,2.21,3.18,4.4,2.8,7,12,34,0.11,0.52,-1.6,0.78,0.93,0.7,2757,1785,3272
78,65,26,60,3.72,3.56,5.09,0,1.85,0.8,0.53,7,8,32,0,0.62,0,0.5,0.47,0.45,2558,1956,2587
79,63,14,24,3.15,2.76,4.55,2.25,2.16,2,1,10,6,24,0.16,0.58,0,0.78,0.53,0.55,4153,2943,3793
80,73,34,67,2.79,4.53,5.35,3.47,3.7,2.47,1.4,7,11,43,0.04,0.9,-0.27,0.81,0.73,0.78,2909,1539,2886
81,10,6,16,2.15,2.11,2.64,0.72,2.05,3.6,2.33,15,10,33,0.19,0.47,-0.8,0.66,0.17,0.33,3398,1425,3917
